name,bus,area,category,carrier,technology,p_nom,p_nom_max,p_min_pu,p_max_pu,p_min_pu_annual,p_max_pu_annual,efficiency,marginal_cost,capital_cost,technology_year,build_year,retire_year,lifetime,min_up_time,min_down_time,control,up_time_before,down_time_before,sector,technology_bundle,p_min_pu_stable,is_primary_reserve,is_tertiary_reserve,is_cold_reserve,primary_reserve_ramp_limit_up,primary_reserve_ramp_limit_down,tertiary_reserve_ramp_limit_up,p_nom_extendable
PL DS coal,PL DS,PL,Hard coal CHP,Hard coal,Hard coal,414.9,,0,0.91,0,0.819,0.547,237,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
PL KP coal,PL KP,PL,Hard coal CHP,Hard coal,Hard coal,177,,0,0.91,0,0.819,0.547,251,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
PL LD coal,PL LD,PL,Hard coal CHP,Hard coal,Hard coal,365,,0,0.91,0,0.819,0.547,242.4,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
PL LU coal,PL LU,PL,Hard coal CHP,Hard coal,Hard coal,44,,0,0.91,0,0.819,0.4158,306,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
PL MA coal,PL MA,PL,Hard coal CHP,Hard coal,Hard coal,1387,,0,0.91,0,0.819,0.415,323.8,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
PL MZ coal,PL MZ,PL,Hard coal CHP,Hard coal,Hard coal,5742.8,,0,0.91,0,0.819,0.415,326,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
PL OP coal,PL OP,PL,Hard coal CHP,Hard coal,Hard coal,3408,,0,0.91,0,0.819,0.416,311,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
PL PD coal,PL PD,PL,Hard coal CHP,Hard coal,Hard coal,148.5,,0,0.91,0,0.819,0.5474,248,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
PL PK coal,PL PK,PL,Hard coal CHP,Hard coal,Hard coal,273.7,,0,0.91,0,0.819,0.34,393.5,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
PL PM coal,PL PM,PL,Hard coal CHP,Hard coal,Hard coal,330.8,,0,0.91,0,0.819,0.5474,261,235000,2020,2025,2025,1,0,0,PQ,1,0,electricity,electricity,0.4095,TRUE,TRUE,TRUE,,,,FALSE
